SUMLEV,STATE,COUNTY,PLACE,COUSUB,NAME,STNAME,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
40,6,0,0,0,California,California,33871653,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37253956,37349363
162,6,0,296,0,Adelanto city,California,18135,18472,20039,21396,22921,24565,26138,27539,28728,29776,30801,31765,31874
162,6,0,394,0,Agoura Hills city,California,20466,20488,20600,20694,20748,20724,20631,20448,20289,20286,20320,20330,20355
162,6,0,562,0,Alameda city,California,72258,72524,73332,72785,72216,71623,71247,71211,71590,72481,73364,73812,73993
162,6,0,674,0,Albany city,California,16474,16579,16942,16984,17021,17049,17124,17270,17522,17909,18300,18539,18585
162,6,0,884,0,Alhambra city,California,85035,85090,85411,85656,85735,85498,84978,84092,83308,83156,83157,83089,83190
162,6,0,947,0,Aliso Viejo city,California,40707,40947,41873,42677,43459,44116,44555,44897,45340,46200,47119,47823,47962
162,6,0,1444,0,Alturas city,California,2904,2892,2859,2848,2875,2892,2864,2864,2821,2813,2826,2827,2827
162,6,0,1514,0,Amador City city,California,186,186,187,190,192,192,193,193,193,190,187,185,185
162,6,0,1640,0,American Canyon city,California,9832,10067,11117,12153,13150,14019,14850,15792,16742,17717,18693,19454,19509
162,6,0,2000,0,Anaheim city,California,327920,328611,331120,332672,334029,334392,333165,331261,330178,332102,334429,336265,337243
162,6,0,2042,0,Anderson city,California,9118,9140,9301,9519,9692,9789,9834,9867,9891,9932,9934,9932,9936
162,6,0,2112,0,Angels city,California,3013,3032,3127,3254,3404,3510,3615,3718,3779,3822,3833,3836,3829
162,6,0,2252,0,Antioch city,California,90924,91352,93281,94319,95239,95885,96697,97043,98020,99572,101159,102372,102744
162,6,0,2364,0,Apple Valley town,California,54249,54642,56362,58153,60110,62276,64162,65549,66559,67374,68118,69135,69384
162,6,0,2462,0,Arcadia city,California,52883,53035,53706,54336,54864,55193,55336,55238,55200,55576,56052,56364,56432
162,6,0,2476,0,Arcata city,California,16578,16558,16678,16791,16888,16967,17019,17050,17012,17052,17153,17231,17252
162,6,0,2868,0,Arroyo Grande city,California,15867,15942,16161,16270,16372,16456,16569,16683,16831,17032,17160,17252,17284
162,6,0,2896,0,Artesia city,California,16361,16383,16498,16597,16665,16675,16628,16516,16420,16445,16497,16522,16541
162,6,0,2924,0,Arvin city,California,12941,13058,13585,14206,14895,15639,16426,17158,17809,18394,18907,19304,19365
162,6,0,3064,0,Atascadero city,California,26490,26593,26916,27031,27142,27294,27424,27563,27748,28057,28196,28310,28361
162,6,0,3092,0,Atherton town,California,7160,7157,7098,6983,6902,6840,6804,6773,6778,6836,6894,6914,6930
162,6,0,3162,0,Atwater city,California,23191,23313,24047,24781,25421,26027,26621,26965,27332,27570,27765,28168,28278
162,6,0,3204,0,Auburn city,California,12672,12701,12892,13108,13339,13482,13528,13544,13479,13477,13392,13330,13391
162,6,0,3274,0,Avalon city,California,3316,3330,3392,3452,3504,3545,3573,3585,3601,3644,3693,3728,3733
162,6,0,3302,0,Avenal city,California,14415,14398,14682,14677,15176,15626,15563,15749,15967,15927,15559,15505,15518
162,6,0,3386,0,Azusa city,California,44520,44614,45066,45477,45800,45969,45979,45819,45706,45911,46190,46361,46414
162,6,0,3526,0,Bakersfield city,California,244217,245995,254301,264377,275672,287976,301094,313113,323658,333036,341135,347483,348587
162,6,0,3666,0,Baldwin Park city,California,75681,75769,76199,76566,76785,76719,76400,75745,75181,75192,75340,75390,75482
162,6,0,3820,0,Banning city,California,23535,23650,24156,24855,25756,26656,27403,28226,28817,28985,29221,29603,29783
162,6,0,4030,0,Barstow city,California,22739,22743,22855,22935,23094,23327,23453,23398,23206,22947,22681,22639,22720
162,6,0,4758,0,Beaumont city,California,11608,12219,14679,17257,20006,22804,25510,28305,30855,32970,35070,36877,37108
